"Date","id","County","Overall","Incidence_vs_Active","Deaths","Recovered","Active","Quarantine_inbound","Quarantine_contact","Contracted.health.services","Acvtive_DPS","Acvtive_ZOL","Work","Academy","School","Dormitories","Weddings","Hotels","Public_Transport","Others"
2020-10-08,11,"Nowotarski",1180,"61,53/22,26",24,726,427,2,398,83,25,0,41,8,0,0,0,0,1,622
2020-10-08,12,"Olkuski",236,"21,22",3,143,90,4,15,8,2,1,51,15,0,0,2,0,0,138
2020-10-08,13,"Oswiecimski",558,"36,36",10,414,134,2,220,50,4,0,0,0,0,0,0,0,0,282
2020-10-08,14,"Proszowicki",86,"19,90",3,58,25,2,8,9,27,0,0,0,0,0,0,0,0,40
2020-10-08,15,"Suski",500,"59,36/15,67",7,361,132,2,163,5,27,0,70,11,0,0,19,0,0,203
2020-10-08,16,"Tarnowski",368,"18,26",9,291,67,6,170,14,56,0,0,0,0,0,0,0,0,122
2020-10-08,17,"Tatrzanski",567,"83,29/28,94",10,357,197,2,182,51,39,0,40,37,0,0,0,0,0,216
2020-10-08,18,"Wadowicki",548,"34,25/12,19",11,341,195,0,207,44,53,NA,18,14,0,0,0,0,0,212
2020-10-08,19,"Wielicki",458,"35,47/11,07",7,306,143,1,249,11,0,0,5,2,0,0,0,0,0,190
2020-10-08,20,"M.kraków",2935,"37,67",41,2447,446,33,528,210,4,17,55,13,0,36,34,32,0,1973
2020-10-08,21,"M.nowysacz",610,"72,80",18,530,62,3,334,37,106,0,116,5,0,0,7,0,0,2
2020-10-08,22,"M.tarnów",138,"12,72",1,92,45,8,27,8,0,0,0,0,0,0,0,0,0,95
2020-10-09,1,"Bochenski",555,"51,94",30,443,74,3,141,24,240,0,12,23,0,0,31,0,0,81
2020-10-09,2,"Brzeski",218,"23,39",2,156,58,3,37,64,13,2,2,0,0,0,0,21,0,76
2020-10-09,3,"Chrzanowski",253,"20,32/11,16",5,109,139,1,40,25,25,2,16,0,0,0,8,0,0,136
2020-10-09,4,"Dabrowski",88,"14,87",1,57,30,2,44,4,0,0,1,0,0,0,0,0,0,37
2020-10-09,5,"Gorlicki",211,"19,38",2,155,54,2,94,10,0,0,0,10,0,0,13,0,0,82
2020-10-09,6,"Krakowski",768,"27,50",6,651,111,6,182,46,15,0,12,4,0,0,2,4,0,497
2020-10-09,7,"Limanowski",960,"72,86/18,37",10,707,242,0,368,32,38,0,0,12,0,0,0,0,1,509
2020-10-09,8,"Miechowski",150,"30,73/14,34",1,79,70,0,44,0,0,0,5,0,0,0,0,0,0,101
2020-10-09,9,"Myslenicki",881,"69,04/25,39",2,555,324,0,247,29,24,0,76,16,0,0,2,0,0,487
2020-10-09,10,"Nowosadecki",1610,"74,26/10,47",28,1355,227,7,1005,90,64,1,314,33,0,0,20,0,0,76
2020-10-09,11,"Nowotarski",1235,"64,40/24,25",24,743,465,2,401,90,25,8,46,8,0,0,0,0,1,654
2020-10-09,12,"Olkuski",255,"22,93",3,150,102,4,15,8,2,1,51,16,0,0,2,0,0,156
2020-10-09,13,"Oswiecimski",578,"37,66",13,415,150,2,221,51,5,0,0,0,0,0,0,0,0,299
2020-10-09,14,"Proszowicki",94,"21,75",3,60,31,2,8,9,27,0,0,0,0,0,0,0,0,48
2020-10-09,15,"Suski",570,"67,67/23,74",7,363,200,2,171,11,69,0,71,14,0,0,19,0,0,213
2020-10-09,16,"Tarnowski",381,"18,91",9,291,80,6,177,14,56,0,0,0,0,0,0,0,0,128
2020-10-09,17,"Tatrzanski",600,"88,14/32,32",10,367,220,2,181,58,39,0,40,42,0,0,0,0,0,238
2020-10-09,18,"Wadowicki",578,"36,12/14,06",11,341,225,0,216,48,53,0,20,16,0,0,0,0,0,225
2020-10-09,19,"Wielicki",481,"37,25/12,39",7,312,160,1,250,11,0,0,5,2,0,0,0,0,0,212
2020-10-09,20,"M.kraków",3136,"40,25",41,2475,619,33,531,218,90,17,55,13,0,36,34,32,0,2077
2020-10-09,21,"M.nowysacz",624,"74,47",18,530,76,3,345,37,106,0,119,5,0,0,7,0,0,2
2020-10-09,22,"M.tarnów",146,"13,46",1,92,53,8,31,8,0,0,0,0,0,0,0,0,0,99
2020-10-11,1,"Bochenski",582,"54,46",30,444,100,3,142,31,240,0,13,23,0,0,31,0,0,99
2020-10-11,2,"Brzeski",235,"25,21",2,161,70,3,37,66,13,2,2,0,0,0,0,21,0,91
2020-10-11,3,"Chrzanowski",279,"22,40/12,77",5,115,159,1,40,25,25,2,16,0,0,0,8,0,0,162
